CID,BDATE,GEN
NASAW00080669,1978-01-11,m
NASAW00080670,1951-02-06,f 
NASAW00080671,1961-06-28,FEMALE
NASAW00080672,1954-04-05,m
NASAW00080673,1981-02-19,F
NASAW00080674,1981-01-24,Male
NASAW00080675,1986-09-12,MALE
NASAW00080676,1961-07-26,
NASAW00080677,1970-02-19,  
NASAW00080678,1970-10-01,Female
NASAW00080679,1957-06-21,m
NASAW00080680,2003-08-29,M
NASAW00080681,1986-01-06,  
NASAW00080682,1969-10-25,Male
NASAW00080683,1978-01-10,Male
NASAW00080684,1990-01-15,
NASAW00080685,1997-10-29,FEMALE
NASAW00080686,1957-02-25,  
NASAW00080687,1956-01-10,Male
NASAW00080688,1960-07-31,f 
NASAW00080689,1987-09-07,M
NASAW00080690,1999-08-06,MALE
NASAW00080691,1958-09-18,Female
NASAW00080692,1968-06-12,Male
NASAW00080693,1963-02-24,M
NASAW00080694,1999-09-17,M
NASAW00080695,2003-06-05,f 
NASAW00080696,1955-07-03,f 
NASAW00080697,1951-11-21,f 
NASAW00080698,1965-04-06,FEMALE
NASAW00080699,1958-03-17,FEMALE
NASAW00080700,1989-03-27,MALE
NASAW00080701,1964-10-11,F
NASAW00080702,1953-01-15,f 
NASAW00080703,1964-05-06,FEMALE
NASAW00080704,1965-12-05,M
NASAW00080705,1991-08-10,m
NASAW00080706,1967-02-20,
NASAW00080707,1988-02-18,M
NASAW00080708,1963-09-27,m
NASAW00080709,1983-04-29,f 
NASAW00080710,1955-12-13,Female
NASAW00080711,1964-03-03,FEMALE
NASAW00080712,1991-06-21,f 
NASAW00080713,2000-09-24,Female
NASAW00080714,1986-09-11,  
NASAW00080715,1993-11-23,F
NASAW00080716,1990-02-24,F
NASAW00080717,1987-04-29,M
NASAW00080718,1988-02-29,M
NASAW00080719,1978-09-20,FEMALE
NASAW00080720,1968-07-17,MALE
NASAW00080721,1995-10-02,MALE
NASAW00080722,1983-05-12,  
NASAW00080723,1969-11-29,Female
NASAW00080724,1974-02-13,MALE
NASAW00080725,1984-05-20,MALE
NASAW00080726,1991-10-16,FEMALE
NASAW00080727,1970-09-30,m
NASAW00080728,1968-06-10,FEMALE
NASAW00080729,1985-08-16,MALE
NASAW00080730,1965-02-19,  
NASAW00080731,1972-11-30,M
AW00080732,1983-01-20,  
NASAW00080733,1990-09-12,Male
NASAW00080734,1991-07-17,Male
NASAW00080735,1993-09-12,F
NASAW00080736,1964-05-01,m
NASAW00080737,1950-08-24,Male
AW00080738,1983-07-29,  
NASAW00080739,1951-11-30,f 
NASAW00080740,1967-12-02,  
NASAW00080741,1995-02-28,FEMALE
NASAW00080742,1970-06-24,MALE
NASAW00080743,1999-10-07,FEMALE
NASAW00080744,1952-07-23,f 
NASAW00080745,1976-09-06,  
NASAW00080746,1969-12-26,M
NASAW00080747,2032-06-01,F
NASAW00080748,1970-04-04,MALE
NASAW00080749,1957-12-22,Male
NASAW00080750,2001-12-03,f 
NASAW00080751,1970-08-11,Male
NASAW00080752,1983-05-22,  
NASAW00080753,1986-01-06,Male
NASAW00080754,1974-11-22,  
NASAW00080755,1998-02-21,Female
NASAW00080756,1979-07-15,FEMALE
NASAW00080757,2000-08-20,  
NASAW00080758,1989-09-26,  
NASAW00080759,1952-08-06,M
NASAW00080760,1970-07-26,FEMALE
NASAW00080761,1957-05-11,
NASAW00080762,1950-06-12,Female
NASAW00080763,1969-06-14,  
NASAW00080764,1953-12-28,F
NASAW00080765,1986-05-30,Male
NASAW00080766,1986-05-02,
NASAW00080767,1953-02-11,m
NASAW00080768,1988-06-21,
NASAW00080769,1990-12-08,Male
NASAW00080770,1986-09-11,F
NASAW00080771,1967-01-27,F
NASAW00080772,1974-08-17,MALE
NASAW00080773,1995-12-04,MALE
NASAW00080774,1955-01-25,M
NASAW00080775,1992-04-18,F
NASAW00080776,1980-06-13,
NASAW00080777,1995-09-29,Female
NASAW00080778,1995-12-13,Female
NASAW00080779,1969-10-25,Male
NASAW00080780,1953-08-20,m
NASAW00080781,1984-10-03,M
NASAW00080782,2003-09-18,m
NASAW00080783,1984-11-21,M
NASAW00080784,1953-01-08,FEMALE
NASAW00080785,1963-11-30,Female
NASAW00080786,2049-10-16,
NASAW00080787,1995-03-19,  
NASAW00080788,1960-07-25,  
NASAW00080789,1977-07-02,F
NASAW00080790,1967-01-20,M
AW00080791,1976-02-25,Male
NASAW00080792,1964-05-22,  
NASAW00080793,1960-10-11,FEMALE
NASAW00080794,1960-09-30,MALE
NASAW00080795,1954-04-22,FEMALE
AW00080796,1985-10-06,F
NASAW00080797,1971-02-13,Female
NASAW00080798,2000-12-09,Female
NASAW00080799,1978-11-04,MALE
AW00080800,2043-05-20,FEMALE
NASAW00080801,1978-10-03,Female
NASAW00080802,1967-01-31,F
NASAW00080803,1955-05-01,F
NASAW00080804,1997-04-29,Female
NASAW00080805,1983-06-19,F
NASAW00080806,1993-09-14,M
NASAW00080807,1956-08-17,F
NASAW00080808,1991-08-12,F
AW00080809,1952-04-23,Female
NASAW00080810,1953-09-08,FEMALE
NASAW00080811,2003-02-02,
NASAW00080812,1960-08-25,Male
NASAW00080813,1983-05-04,F
NASAW00080814,1997-07-09,F
NASAW00080815,1965-12-02,m
NASAW00080816,2000-08-31,Male
NASAW00080817,1953-01-14,Female
NASAW00080818,1962-12-05,F
NASAW00080819,1960-08-20,Male
AW00080820,1981-03-26,M
AW00080821,1990-05-16,
NASAW00080822,2000-12-02,FEMALE
NASAW00080823,1991-11-16,
NASAW00080824,1976-04-11,Male
NASAW00080825,2000-07-25,m
NASAW00080826,2002-05-10,  
NASAW00080827,1989-02-11,  
NASAW00080828,1994-10-07,MALE
NASAW00080829,1963-09-01,  
NASAW00080830,1952-05-22,FEMALE
NASAW00080831,1962-06-04,MALE
NASAW00080832,1993-06-06,FEMALE
NASAW00080833,1971-10-23,
NASAW00080834,1967-05-21,m
NASAW00080835,1964-08-05,M
NASAW00080836,1975-09-03,
NASAW00080837,1992-07-30,MALE
NASAW00080838,1991-05-25,  
NASAW00080839,1979-05-10,  
NASAW00080840,1968-10-05,m
NASAW00080841,2049-04-24,FEMALE
NASAW00080842,1976-09-30,f 
NASAW00080843,1974-07-08,Male
NASAW00080844,1998-06-19,m
NASAW00080845,1973-03-19,FEMALE
NASAW00080846,1979-05-20,f 
NASAW00080847,1977-05-06,MALE
NASAW00080848,1983-03-02,F
NASAW00080849,1976-05-30,Male
NASAW00080850,1955-06-12,FEMALE
NASAW00080851,1952-05-31,FEMALE
AW00080852,1954-04-16,m
NASAW00080853,1963-01-02,Female
NASAW00080854,1951-09-04,F
NASAW00080855,1957-06-01,f 
NASAW00080856,1984-09-19,Male
NASAW00080857,1994-04-29,m
NASAW00080858,1970-12-21,Female
NASAW00080859,1953-07-24,M
NASAW00080860,1954-12-30,M
NASAW00080861,1996-01-01,Male
NASAW00080862,2003-03-23,m
AW00080863,1963-01-18,M
NASAW00080864,1985-10-05,m
NASAW00080865,1958-11-30,Male
NASAW00080866,1980-02-12,  
NASAW00080867,1967-06-10,m
NASAW00080868,1984-02-23,f 
NASAW00080869,1970-06-24,FEMALE
NASAW00080870,1961-06-12,f 
NASAW00080871,1965-04-16,MALE
NASAW00080872,1990-03-24,F
NASAW00080873,1963-11-06,Male
NASAW00080874,1993-02-07,
NASAW00080875,1985-02-03,FEMALE
NASAW00080876,1965-08-19,F
NASAW00080877,1971-09-26,M
NASAW00080878,1970-06-21,F
NASAW00080879,1992-07-18,FEMALE
AW00080880,1965-10-19,MALE
NASAW00080881,2002-03-12,F
NASAW00080882,1991-09-20,m
NASAW00080883,1963-05-25,F
NASAW00080884,1951-11-02,Female
NASAW00080885,1812-06-18,M
NASAW00080886,1998-08-28,  
AW00080887,1994-11-30,FEMALE
NASAW00080888,1976-07-12,F
NASAW00080889,1951-04-22,FEMALE
NASAW00080890,2003-12-30,
NASAW00080891,1963-10-02,Male
NASAW00080892,1987-12-30,FEMALE
NASAW00080893,1996-05-01,Male
NASAW00080894,1952-10-21,MALE
NASAW00080895,2004-06-19,
NASAW00080896,1977-03-18,Female
NASAW00080897,1952-07-30,Male
NASAW00080898,1876-08-01,F
NASAW00080899,1960-10-23,M
NASAW00080900,2000-08-19,F
NASAW00080901,1998-08-05,Female
NASAW00080902,1982-08-02,
NASAW00080903,1999-03-10,F
NASAW00080904,1986-02-21,f 
NASAW00080905,1974-03-30,M
NASAW00080906,1987-07-01,FEMALE
NASAW00080907,1961-05-12,
NASAW00080908,1955-03-07,Female
NASAW00080909,1980-02-11,FEMALE
NASAW00080910,1984-05-29,Female
NASAW00080911,1960-02-19,FEMALE
NASAW00080912,1989-05-18,Female
NASAW00080913,1968-08-25,Male
NASAW00080914,1992-07-12,FEMALE
NASAW00080915,2004-08-12,
NASAW00080916,1953-08-19,Male
NASAW00080917,1981-10-15,Male
NASAW00080918,1956-09-27,m
NASAW00080919,1982-06-15,FEMALE
NASAW00080920,1878-11-01,F
NASAW00080921,1958-01-21,
NASAW00080922,1969-09-13,FEMALE
NASAW00080923,1971-11-02,m
NASAW00080924,1997-01-23,  
NASAW00080925,1960-12-31,Female
NASAW00080926,1964-03-07,m
NASAW00080927,2000-10-22,Male
NASAW00080928,1961-12-11,MALE
NASAW00080929,1981-09-18,  
NASAW00080930,1995-03-02,FEMALE
NASAW00080931,1999-06-01,F
NASAW00080932,1953-02-03,Female
NASAW00080933,1991-08-11,FEMALE
NASAW00080934,1979-06-09,FEMALE
NASAW00080935,1951-05-04,m
NASAW00080936,1958-11-11,MALE
NASAW00080937,1976-05-23,Female
NASAW00080938,1980-07-26,F
NASAW00080939,1979-05-25,M
AW00080940,1972-01-27,MALE
NASAW00080941,1958-07-21,MALE
NASAW00080942,1980-03-01,F
NASAW00080943,1985-09-19,F
NASAW00080944,1974-10-09,F
NASAW00080945,1950-08-01,Male
NASAW00080946,1995-01-16,  
NASAW00080947,1994-06-04,
NASAW00080948,1965-07-12,
NASAW00080949,1969-12-21,F
NASAW00080950,1955-12-04,Female
NASAW00080951,2001-03-29,  
NASAW00080952,2003-11-12,Female
NASAW00080953,1965-03-06,Female
NASAW00080954,1983-04-11,Female
NASAW00080955,1973-01-03,M
NASAW00080956,1976-10-21,F
NASAW00080957,1975-07-13,MALE
NASAW00080958,2040-07-08,  
NASAW00080959,1973-02-24,m
NASAW00080960,1958-11-16,Female
NASAW00080961,1976-04-27,MALE
NASAW00080962,1985-05-23,Female
NASAW00080963,1966-01-23,
NASAW00080964,1988-10-14,M
NASAW00080965,1990-04-25,m
NASAW00080966,1972-09-29,F
NASAW00080967,1954-01-31,Male
NASAW00080968,1958-11-21,Female
NASAW00080969,1950-07-02,
NASAW00080970,1964-07-21,f 
NASAW00080971,1951-07-24,
AW00080972,1980-04-03,Female
NASAW00080973,1995-10-24,
NASAW00080974,1986-07-10,Female
NASAW00080975,1959-02-23,MALE
NASAW00080976,1980-05-30,
NASAW00080977,1979-09-15,m
NASAW00080978,1973-06-22,
NASAW00080979,1979-05-21,m
NASAW00080980,1978-05-06,Male
AW00080981,1987-04-17,
AW00080982,1978-07-27,f 
NASAW00080983,1953-12-28,  
NASAW00080984,1969-09-08,  
NASAW00080985,1993-12-09,FEMALE
NASAW00080986,1957-05-22,F
NASAW00080987,1975-10-19,FEMALE
NASAW00080988,1971-11-26,
NASAW00080989,1997-04-09,MALE
NASAW00080990,1967-10-09,m
NASAW00080991,1982-05-27,M
AW00080992,1988-03-19,Male
NASAW00080993,2058-08-05,  
NASAW00080994,1963-12-12,Female
NASAW00080995,1987-05-30,
NASAW00080996,2002-02-12,MALE
NASAW00080997,1964-05-01,F
NASAW00080998,2002-09-04,
NASAW00080999,1968-11-18,Male
NASAW00081000,1977-09-09,F
NASAW00081001,2002-05-11,Male
NASAW00081002,1969-05-29,  
NASAW00081003,2003-08-26,MALE
NASAW00081004,1953-03-17,FEMALE
NASAW00081005,2000-06-03,Female
AW00081006,1993-10-14,F
NASAW00081007,1953-08-18,M
NASAW00081008,2003-06-25,  
NASAW00081009,1985-03-09,m
NASAW00081010,1994-11-10,
NASAW00081011,1950-01-15,Female
NASAW00081012,1997-03-21,
NASAW00081013,1956-05-01,M
NASAW00081014,1996-05-17,Female
NASAW00081015,2002-06-06,
NASAW00081016,1979-06-24,Male
NASAW00081017,1985-11-06,
NASAW00081018,1970-09-13,Male
NASAW00081019,1955-05-11,M
NASAW00081020,1975-11-15,m
NASAW00081021,1974-12-13,  
NASAW00081022,1980-05-20,
NASAW00081023,1958-01-26,m
NASAW00081024,1957-04-04,Male
NASAW00081025,1995-11-20,Female
NASAW00081026,1994-11-06,f 
NASAW00081027,2004-03-23,  
NASAW00081028,1965-01-31,M
NASAW00081029,1955-09-25,M
NASAW00081030,1998-12-20,Female
NASAW00081031,1950-04-13,F
AW00081032,1965-01-21,Male
NASAW00081033,1971-10-04,Male
NASAW00081034,1951-07-29,Female
NASAW00081035,2002-04-02,F
NASAW00081036,1953-03-30,m
NASAW00081037,1979-08-29,Female
NASAW00081038,2003-03-22,
NASAW00081039,1990-08-22,Male
NASAW00081040,1955-07-28,FEMALE
NASAW00081041,1969-06-10,M
NASAW00081042,1981-12-30,MALE
NASAW00081043,1981-12-30,M
NASAW00081044,1994-08-27,  
NASAW00081045,1957-08-12,m
NASAW00081046,1986-01-13,MALE
NASAW00081047,2004-06-20,M
NASAW00081048,1957-12-02,  
NASAW00081049,1971-07-05,
AW00081050,1953-10-19,Male
AW00081051,1950-09-03,FEMALE
NASAW00081052,1996-09-09,Female
NASAW00081053,2002-06-11,f 
NASAW00081054,1984-11-17,M
NASAW00081055,1997-11-01,
NASAW00081056,1964-01-12,Female
NASAW00081057,1960-12-13,
NASAW00081058,1971-01-22,Female
NASAW00081059,1974-12-28,m
NASAW00081060,1964-04-29,Male
NASAW00081061,1963-05-01,
NASAW00081062,1976-12-28,M
NASAW00081063,1978-08-03,  
NASAW00081064,2001-10-06,f 
NASAW00081065,1992-08-27,
NASAW00081066,2003-02-05,F
NASAW00081067,1984-01-11,Male
NASAW00081068,1970-08-09,FEMALE
NASAW00081069,1971-06-06,F
NASAW00081070,2004-06-03,m
NASAW00081071,1957-07-22,FEMALE
NASAW00081072,1983-01-12,Male
NASAW00081073,1977-12-28,f 
NASAW00081074,1970-01-25,F
NASAW00081075,2002-03-07,  
NASAW00081076,1999-11-22,m
NASAW00081077,1967-04-01,Female
NASAW00081078,1987-06-03,F
NASAW00081079,1962-04-17,f 
NASAW00081080,1952-03-03,  
NASAW00081081,1993-05-06,Female
NASAW00081082,1994-01-17,FEMALE
NASAW00081083,1955-10-12,F
NASAW00081084,1954-09-21,M
NASAW00081085,2000-06-07,FEMALE
NASAW00081086,1985-06-09,  
NASAW00081087,1965-12-01,MALE
NASAW00081088,1968-06-14,MALE
NASAW00081089,1986-02-06,f 
NASAW00081090,2002-09-20,FEMALE
NASAW00081091,1954-12-05,m
NASAW00081092,1958-04-30,Male
NASAW00081093,1985-04-18,Male
NASAW00081094,1990-01-11,MALE
NASAW00081095,1978-08-03,
NASAW00081096,2047-03-27,FEMALE
NASAW00081097,1973-12-04,m
NASAW00081098,1966-06-09,m
NASAW00081099,1989-05-09,M
NASAW00081100,1966-05-03,FEMALE
NASAW00081101,1976-06-12,F
NASAW00081102,2056-01-13,MALE
NASAW00081103,1955-10-05,m
NASAW00081104,1969-12-24,FEMALE
NASAW00081105,1951-05-01,F
NASAW00081106,1988-04-03,Male
NASAW00081107,1990-04-29,M
NASAW00081108,2004-02-07,  
NASAW00081109,1955-02-27,F
NASAW00081110,2004-08-29,M
NASAW00081111,1878-09-25,Female
NASAW00081112,1976-12-03,F
NASAW00081113,1956-11-29,  
NASAW00081114,1952-11-20,M
NASAW00081115,1970-03-15,
NASAW00081116,1987-09-10,Female
NASAW00081117,1978-09-03,  
NASAW00081118,1968-02-10,Male
NASAW00081119,1976-11-04,  
NASAW00081120,1976-09-18,f 
NASAW00081121,1962-05-05,
NASAW00081122,1956-04-18,
NASAW00081123,2002-09-27,  
NASAW00081124,1954-08-22,f 
NASAW00081125,1966-03-25,FEMALE
NASAW00081126,1958-10-29,F
NASAW00081127,1951-09-27,Female
NASAW00081128,2004-07-31,Female
NASAW00081129,1967-11-17,FEMALE
NASAW00081130,1950-03-12,m
NASAW00081131,1958-10-20,  
NASAW00081132,1953-04-07,
NASAW00081133,1970-05-23,Male
NASAW00081134,1985-12-17,  
NASAW00081135,1993-11-13,Male
AW00081136,2058-10-26,  
NASAW00081137,1969-06-03,
NASAW00081138,2004-09-10,m
NASAW00081139,1951-04-21,
NASAW00081140,1997-01-23,M
NASAW00081141,1991-01-15,
NASAW00081142,1951-08-04,MALE
NASAW00081143,1982-07-23,Male
NASAW00081144,1996-10-27,Female
NASAW00081145,1980-07-28,
NASAW00081146,1986-06-29,  
AW00081147,1995-12-04,F
NASAW00081148,1953-10-03,MALE
NASAW00081149,1974-08-21,F
NASAW00081150,1995-03-25,F
NASAW00081151,1993-03-06,m
NASAW00081152,1972-12-19,Male
NASAW00081153,1980-12-05,M
AW00081154,1960-12-15,
NASAW00081155,1998-02-03,F
NASAW00081156,1956-08-28,Male
NASAW00081157,1977-02-09,m
NASAW00081158,1981-11-14,F
NASAW00081159,1977-04-26,  
NASAW00081160,1990-04-25,FEMALE
NASAW00081161,1993-04-13,M
NASAW00081162,1960-07-29,F
AW00081163,1966-06-27,MALE
NASAW00081164,2001-02-07,F
NASAW00081165,1966-02-02,  
NASAW00081166,2002-01-06,  
NASAW00081167,1993-08-19,F
NASAW00081168,1990-07-12,Female
NASAW00081169,1997-09-19,Female
NASAW00081170,1963-01-01,
NASAW00081171,1963-06-26,
NASAW00081172,1988-03-15,MALE
NASAW00081173,1994-04-12,F
NASAW00081174,1991-06-13,Male
NASAW00081175,1970-09-09,Female
NASAW00081176,1981-06-06,M
NASAW00081177,1979-03-27,FEMALE
NASAW00081178,1978-01-03,FEMALE
NASAW00081179,1983-03-29,
NASAW00081180,1959-11-22,Female
NASAW00081181,1986-07-27,FEMALE
NASAW00081182,1952-09-16,Male
NASAW00081183,1977-01-04,MALE
NASAW00081184,1954-01-14,MALE
NASAW00081185,1957-08-06,
NASAW00081186,1953-12-19,M
NASAW00081187,1999-10-03,m
NASAW00081188,1984-06-19,F
NASAW00081189,1960-03-31,MALE
NASAW00081190,1975-07-30,F
NASAW00081191,1958-03-17,MALE
NASAW00081192,1956-04-08,Female
NASAW00081193,1986-05-11,f 
NASAW00081194,1977-12-22,f 
AW00081195,1951-03-20,m
NASAW00081196,1973-01-12,MALE
NASAW00081197,1984-03-30,MALE
AW00081198,1965-09-26,F
NASAW00081199,1971-03-04,f 
NASAW00081200,1996-12-30,  
NASAW00081201,1970-10-02,M
NASAW00081202,1977-05-10,Female
NASAW00081203,2003-09-10,MALE
NASAW00081204,1979-09-09,
NASAW00081205,1958-09-19,m
NASAW00081206,1967-09-10,Male
NASAW00081207,1989-03-20,M
NASAW00081208,1978-06-02,
AW00081209,1976-10-05,MALE
NASAW00081210,1961-01-03,FEMALE
NASAW00081211,1965-01-30,  
NASAW00081212,1981-11-24,
NASAW00081213,2001-03-02,
NASAW00081214,1978-03-24,F
NASAW00081215,1985-05-23,Female
NASAW00081216,1962-05-08,Female
NASAW00081217,1995-04-25,M
NASAW00081218,1984-10-14,MALE
AW00081219,1974-10-31,  
NASAW00081220,1974-01-27,F
NASAW00081221,1950-03-12,FEMALE
NASAW00081222,1994-06-05,F
NASAW00081223,1958-01-29,MALE
NASAW00081224,1976-08-23,m
NASAW00081225,1959-09-25,M
NASAW00081226,2002-08-01,f 
NASAW00081227,1950-06-05,  
NASAW00081228,1987-07-30,Female
NASAW00081229,1984-07-02,M
NASAW00081230,1980-01-26,M
NASAW00081231,1988-09-14,M
NASAW00081232,1958-01-19,
NASAW00081233,1960-01-10,Female
NASAW00081234,2003-06-14,MALE
NASAW00081235,1972-10-01,FEMALE
NASAW00081236,1993-12-01,Female
NASAW00081237,2002-12-14,  
AW00081238,1961-11-29,  
NASAW00081239,1978-03-06,F
NASAW00081240,1987-04-22,f 
NASAW00081241,1999-01-23,f 
NASAW00081242,1998-06-14,
NASAW00081243,2001-12-25,f 
NASAW00081244,2001-07-25,MALE
NASAW00081245,1988-08-09,  
NASAW00081246,1983-07-23,FEMALE
NASAW00081247,1970-11-03,MALE
NASAW00081248,1953-01-22,f 
AW00081249,1953-04-01,
NASAW00081250,1955-01-19,f 
NASAW00081251,1969-08-22,Male
NASAW00081252,1979-09-16,Male
NASAW00081253,2000-04-11,FEMALE
NASAW00081254,1956-01-31,M
NASAW00081255,1958-02-25,M
NASAW00081256,1999-03-25,m
NASAW00081257,1995-08-18,  
NASAW00081258,1994-09-15,FEMALE
NASAW00081259,1984-05-07,m
NASAW00081260,1976-01-19,
NASAW00081261,1950-07-02,M
NASAW00081262,1953-12-02,f 
NASAW00081263,1994-01-28,FEMALE
NASAW00081264,1999-12-31,
NASAW00081265,1989-05-03,MALE
NASAW00081266,2002-10-14,FEMALE
NASAW00081267,1994-07-26,MALE
NASAW00081268,1990-10-25,f 
NASAW00081269,2000-10-19,  
NASAW00081270,2002-11-21,F
NASAW00081271,1998-12-25,Male
NASAW00081272,1964-09-03,
NASAW00081273,1983-05-28,
NASAW00081274,2000-03-28,MALE
NASAW00081275,1973-04-24,m
NASAW00081276,1993-10-14,F
NASAW00081277,1958-05-05,m
NASAW00081278,1965-07-14,MALE
NASAW00081279,1951-12-05,
NASAW00081280,1981-03-08,FEMALE
NASAW00081281,1958-03-22,f 
NASAW00081282,1961-01-25,f 
NASAW00081283,1977-12-08,FEMALE
NASAW00081284,2002-08-27,M
NASAW00081285,1975-06-28,M
NASAW00081286,1974-10-24,MALE
NASAW00081287,1960-01-15,MALE
NASAW00081288,1974-07-07,Male
NASAW00081289,1992-10-01,f 
NASAW00081290,1999-12-28,MALE
NASAW00081291,1999-07-21,f 
NASAW00081292,1974-01-04,f 
NASAW00081293,1992-01-23,Female
NASAW00081294,1966-06-12,f 
NASAW00081295,1973-04-10,m
NASAW00081296,1991-06-09,M
AW00081297,2004-08-18,m
NASAW00081298,1979-03-15,FEMALE
NASAW00081299,1999-08-20,M
NASAW00081300,1964-02-06,Female
NASAW00081301,1995-10-31,m
NASAW00081302,1998-02-07,Male
NASAW00081303,1977-08-31,  
NASAW00081304,2002-07-31,Male
NASAW00081305,1962-07-27,m
NASAW00081306,1969-02-19,FEMALE
NASAW00081307,1990-09-06,  
NASAW00081308,1965-12-26,m
NASAW00081309,1969-03-13,F
NASAW00081310,1961-03-24,m
NASAW00081311,1995-10-12,Male
NASAW00081312,1962-03-01,FEMALE
NASAW00081313,1989-07-10,
NASAW00081314,1958-10-09,f 
NASAW00081315,1994-10-24,f 
NASAW00081316,1995-02-05,MALE
NASAW00081317,1972-02-26,MALE
NASAW00081318,1972-10-01,MALE
NASAW00081319,1983-11-16,F
NASAW00081320,1951-11-21,MALE
NASAW00081321,1977-05-23,m
NASAW00081322,1976-04-07,M
NASAW00081323,1983-09-02,F
NASAW00081324,1992-08-19,f 
NASAW00081325,1993-08-16,M
NASAW00081326,1982-09-15,
NASAW00081327,1953-12-02,Male
NASAW00081328,1954-09-15,F
NASAW00081329,1956-10-05,FEMALE
NASAW00081330,1951-11-13,f 
NASAW00081331,2002-10-05,  
NASAW00081332,1980-08-06,f 
NASAW00081333,1981-09-16,m
NASAW00081334,1973-09-25,MALE
NASAW00081335,1996-10-23,MALE
NASAW00081336,1950-08-15,f 
NASAW00081337,1960-03-11,m
NASAW00081338,1968-02-13,F
NASAW00081339,1965-09-23,M
NASAW00081340,1996-04-26,Female
NASAW00081341,1967-03-30,m
NASAW00081342,1973-04-18,
NASAW00081343,1972-05-18,MALE
NASAW00081344,1968-07-12,  
NASAW00081345,1952-11-15,Female
NASAW00081346,1995-09-02,M
NASAW00081347,1988-07-25,Female
NASAW00081348,1992-12-29,F
NASAW00081349,1991-11-29,
NASAW00081350,1995-03-28,MALE
NASAW00081351,1959-07-11,m
NASAW00081352,1971-04-29,Male
NASAW00081353,1979-10-29,f 
NASAW00081354,1987-11-11,MALE
NASAW00081355,1972-07-18,FEMALE
NASAW00081356,1987-09-28,Male
NASAW00081357,1992-05-29,MALE
AW00081358,1957-03-07,  
NASAW00081359,1974-02-15,MALE
NASAW00081360,1964-08-08,m
NASAW00081361,1974-07-04,MALE
NASAW00081362,1999-01-04,M
NASAW00081363,1998-11-28,  
NASAW00081364,1976-09-07,Male
NASAW00081365,1956-12-16,M
NASAW00081366,1997-07-10,f 
NASAW00081367,1986-09-16,  
NASAW00081368,1958-06-10,F
NASAW00081369,1972-04-27,f 
NASAW00081370,1952-01-01,MALE
NASAW00081371,1967-10-09,Female
NASAW00081372,1988-08-06,FEMALE
NASAW00081373,1962-06-21,MALE
NASAW00081374,2002-07-16,M
NASAW00081375,1960-08-05,  
NASAW00081376,1953-07-01,MALE
NASAW00081377,1975-03-27,FEMALE
NASAW00081378,1964-12-09,MALE
NASAW00081379,1997-03-13,Female
NASAW00081380,1980-08-19,Female
NASAW00081381,1950-08-23,FEMALE
NASAW00081382,1990-03-21,f 
NASAW00081383,1998-02-03,FEMALE
NASAW00081384,1953-05-16,M
NASAW00081385,1982-09-30,Female
NASAW00081386,1951-02-06,MALE
NASAW00081387,1991-04-26,M
NASAW00081388,1989-05-27,F
NASAW00081389,1971-09-25,F
NASAW00081390,1952-11-17,M
NASAW00081391,1997-12-26,M
NASAW00081392,1981-03-09,m
NASAW00081393,1950-02-04,M
NASAW00081394,1961-04-18,Male
AW00081395,1964-01-23,F
NASAW00081396,1994-03-31,m
NASAW00081397,1952-08-18,
AW00081398,1999-06-19,m
NASAW00081399,1966-03-07,MALE
NASAW00081400,1969-12-20,f 
NASAW00081401,1965-10-26,m
NASAW00081402,1986-07-19,m
NASAW00081403,1974-04-08,  
NASAW00081404,1976-10-30,Female
NASAW00081405,2004-08-30,MALE
NASAW00081406,1958-10-05,M
NASAW00081407,2000-01-25,Female
NASAW00081408,1982-12-04,m
NASAW00081409,1979-04-08,M
NASAW00081410,1995-03-16,F
NASAW00081411,1980-07-01,MALE
NASAW00081412,1972-11-29,Female
AW00081413,1984-12-22,
NASAW00081414,2039-02-07,M
NASAW00081415,2003-08-22,MALE
NASAW00081416,1967-11-02,  
AW00081417,1974-08-05,
NASAW00081418,2038-10-21,Male
NASAW00081419,1955-04-27,m
NASAW00081420,1955-10-09,F
NASAW00081421,1950-11-01,Female
NASAW00081422,1994-06-30,m
NASAW00081423,1979-08-10,f 
NASAW00081424,1974-11-28,f 
NASAW00081425,1978-12-19,f 
NASAW00081426,1991-04-14,FEMALE
NASAW00081427,1967-09-03,
NASAW00081428,2002-02-27,M
NASAW00081429,1984-02-03,F
NASAW00081430,1997-04-18,F
NASAW00081431,2030-07-06,Female
NASAW00081432,1995-06-09,
NASAW00081433,1977-12-05,  
NASAW00081434,1974-01-02,f 
NASAW00081435,1997-05-21,
NASAW00081436,1983-06-15,  
NASAW00081437,1975-06-07,m
NASAW00081438,1951-06-13,f 
NASAW00081439,1995-08-10,  
NASAW00081440,1963-05-07,Female
NASAW00081441,1979-07-28,F
NASAW00081442,1950-07-09,  
NASAW00081443,1988-11-26,F
NASAW00081444,2002-09-29,MALE
NASAW00081445,2000-07-01,FEMALE
NASAW00081446,2001-09-29,Male
NASAW00081447,1965-06-27,MALE
NASAW00081448,1969-01-16,MALE
NASAW00081449,1968-06-08,f 
NASAW00081450,1964-05-29,f 
NASAW00081451,1962-11-24,M
NASAW00081452,1970-08-03,Female
NASAW00081453,1964-06-04,F
NASAW00081454,1993-02-24,MALE
NASAW00081455,1962-01-26,Male
NASAW00081456,1992-03-16,m
NASAW00081457,1958-03-05,M
NASAW00081458,1951-12-28,f 
